shot,act,title,core,ext_tc_in,ext_tc_out,core_tc_in,core_tc_out,seconds,narration,sfx,prompt
01,I. THE FULL SKY,Veylora at dawn,yes,00:00,00:10,00:00,00:10,10,"Before anyone remembered the word FurEver, there was a world called Veylora. It was not built around kingdoms.",Low sustained drone. Distant wind. A single struck bell at the sunrise flare.,"REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE FULL SKY. SHOT: Extreme wide establishing shot, slow continuous crane-up over an enormous fantasy continent at first light. The camera begins low over a sea of waist-high meadow grass rippling in wind, then rises steadily and without cutting to reveal the whole world laid out to the horizon in distinct bands: golden grassland giving way to silver birch forest, a glass-blue coastline, a red canyon breathing heat-shimmer, terraced cloud-wreathed mountains, a luminous turquoise jungle, and a far white valley under a curtain of aurora. Mist lies in every valley. Birds lift in a long ribbon across the frame as the camera clears the last ridge and the sun breaks the horizon line, flaring the lens gold. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
02,I. THE FULL SKY,The Tenfold Sky,no,00:10,00:20,,,10,They were not lights hanging in the dark. They were alive. Ten different ways of understanding one single world.,"Ten layered chimes, each a different pitch. They resolve into one chord.","REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE FULL SKY. SHOT: Wide low-angle night shot looking straight up past the silhouettes of ancient standing stones into a vast star field. The camera holds still, drifting almost imperceptibly. One by one, ten individual stars brighten out of the field — green-gold, silver, ice blue, ember red, storm white, turquoise, pale aurora green, warm gold, deep violet, and one impossible iridescent point at the very edge of frame — each flaring softly as it wakes. As the tenth ignites, all ten pulse together once, in unison, like a single heartbeat, and thin lines of light draw between them, forming a constellation across the whole sky. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
03,I. THE FULL SKY,The Starkeeper,yes,00:20,00:30,00:10,00:20,10,And one small cat carried all ten of them — for exactly as long as they wished to stay. That was the whole job.,"Grass. Soft footpads. A faint choral hum from the scarf, ten voices.","REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE FULL SKY. LUMI: a small white cat, true feline proportions on four legs, fluffy fur with a faint cream undertone at ears and tail-tip, large round pale-gold eyes with vertical pupils, thin delicate gold filigree markings tracing his forelegs and across his brow, wearing a long dark indigo-navy scarf of woven-night fabric with ten small circular silver fastenings stitched along it, scarf ends frayed and trailing behind him. SHOT: Low tracking shot at cat's eye height, camera gliding backward just ahead of LUMI as he walks a stone path through tall evening grass. He is small and unhurried, tail up. The ten silver fastenings along his dark indigo scarf are each filled with a tiny living light in a different colour, and they drift and breathe as he moves, throwing coloured highlights across his white fur and across the grass on both sides of the path. Fireflies rise around him. He glances up at something off-frame, and the lights in the scarf all turn slightly, together, to look the same way. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
04,I. THE FULL SKY,"Ten lights, breathing",no,00:30,00:40,,,10,,"Fabric. The hum, very close now. It stops dead on the empty ring.","REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE FULL SKY. THE NIGHTWEAVE: a long dark indigo scarf of impossibly black woven fabric that light falls into rather than off, ten small circular silver fastenings stitched along its length in an irregular constellation pattern, frayed trailing ends. SHOT: Extreme macro close-up, shallow focus, on the fabric of the scarf itself, camera drifting slowly along its length past one fastening, then another, then another. Each silver ring holds a small living star that turns gently in place, casting its own colour across the black weave. The fabric is so dark that the light falls into it rather than off it. The camera reaches the tenth ring at the very end of the move — and it is empty. Dark. A bare silver circle with nothing in it. Hold on the empty ring as focus settles. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
05,II. THE BREAK,The Vault goes wrong,yes,00:40,00:50,00:20,00:30,10,There were rules older than the language they were written in. You cannot protect a thing by owning it. He never broke one.,Stone ambience. The hum turning discordant. A sub-bass vibration rising.,"REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE BREAK. LUMI: a small white cat, true feline proportions on four legs, fluffy fur with a faint cream undertone at ears and tail-tip, large round pale-gold eyes with vertical pupils, thin delicate gold filigree markings tracing his forelegs and across his brow, wearing a long dark indigo-navy scarf of woven-night fabric with ten small circular silver fastenings stitched along it, scarf ends frayed and trailing behind him. SHOT: Interior of an enormous ancient underground vault: black stone pillars, gold mosaic floor, a domed ceiling carved with constellations. Slow push-in on LUMI standing small at the centre of the vast space, lit only by his own scarf. The ten coloured lights begin to flicker out of rhythm, stuttering, swinging on their fastenings as if pulled by something. He lifts a paw to the scarf. The lights drag harder, all leaning the same direction. Behind him, deep between two distant pillars, the darkness thickens and begins to move toward the camera. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
06,II. THE BREAK,All ten go out,no,00:50,01:00,,,10,,Total audio cut on the blackout. Two seconds of absolute silence. Then a breath that is far too large.,"REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE BREAK. LUMI: a small white cat, true feline proportions on four legs, fluffy fur with a faint cream undertone at ears and tail-tip, large round pale-gold eyes with vertical pupils, thin delicate gold filigree markings tracing his forelegs and across his brow, wearing a long dark indigo-navy scarf of woven-night fabric with ten small circular silver fastenings stitched along it, scarf ends frayed and trailing behind him. SHOT: Locked-off medium shot of LUMI in the vault, still and alert, scarf lights guttering wildly and throwing swinging coloured shadows up the pillars. The flicker accelerates. Then, all at once, every light goes out together in a single frame, and the shot drops to near-total blackness, with only the faintest cold rim of light on the edge of his white fur and one highlight in his wide eye. Nothing moves for a long beat. Then, deep in the black behind him, two pale violet eyes open, high up, far larger and far higher than they should be. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
07,II. THE BREAK,Noctra,yes,01:00,01:10,00:30,00:40,10,Something came up out of the dark that Veylora had spent four hundred years agreeing had never existed at all.,Deep sub-bass. Stone grinding. The gem pulse lands like a struck anvil.,"REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE BREAK. NOCTRA: an enormous black cat, four to five times Lumi's size, fur so absolutely black it reads as a hole cut in the frame and absorbs surrounding light, pale violet eyes with slit pupils that emit a faint glow, thin violet fracture-lines crawling across his body like lightning trapped beneath stone, black smoke drifting continuously off his silhouette, a large cracked violet gem set in his chest with a single hairline gold fracture across it. SHOT: Slow, geometrically precise push-in through darkness toward NOCTRA as he walks out from between two vast pillars. His fur absorbs the residual light in the chamber, so he reads as a moving absence, a hole in the image, and the gold mosaic behind him dims as he passes it. Violet fracture-lines crawl and pulse across his body. Black smoke peels continuously off his outline and does not disperse. He stops. He lowers his head toward the camera, and the cracked violet gem in his chest pulses once, hard, throwing violet light up across his jaw and eyes. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
08,II. THE BREAK,The erased name,no,01:10,01:20,,,10,"They took his name off the statues. They took it out of the books. They left one song behind, to frighten children indoors.","Dripping water. A distant children's choir singing a nursery rhyme, slightly wrong.","REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE BREAK. SHOT: Slow lateral dolly along a ruined temple frieze in half-darkness, torchlight raking across it. Carved figures of a white cat and an enormous black cat stand side by side in ancient relief — and as the camera tracks on, the black cat's figure has been violently chiselled away to blank stone, leaving only a rough scar in the rock where he used to be. The camera continues along the wall past panel after panel, and in every single one the same shape has been removed. The last panel is entirely blank. Dust drifts through the torchlight. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
09,II. THE BREAK,Light against shadow,yes,01:20,01:30,00:40,00:50,10,,"No music. Only impact, stone, and breathing. Let it be ugly.","REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE BREAK. LUMI: a small white cat, true feline proportions on four legs, fluffy fur with a faint cream undertone at ears and tail-tip, large round pale-gold eyes with vertical pupils, thin delicate gold filigree markings tracing his forelegs and across his brow, wearing a long dark indigo-navy scarf of woven-night fabric with ten small circular silver fastenings stitched along it, scarf ends frayed and trailing behind him. NOCTRA: an enormous black cat, four to five times Lumi's size, fur so absolutely black it reads as a hole cut in the frame and absorbs surrounding light, pale violet eyes with slit pupils that emit a faint glow, thin violet fracture-lines crawling across his body like lightning trapped beneath stone, black smoke drifting continuously off his silhouette, a large cracked violet gem set in his chest with a single hairline gold fracture across it. SHOT: Dynamic wide shot inside the collapsing vault, camera whip-panning to follow the action in one continuous move. A sheet of living shadow tears across the mosaic floor toward LUMI; he leaps aside and lands hard, and the gold filigree on his forelegs and brow ignites, throwing a curved golden barrier of light up between himself and the dark. The shadow slams into it and breaks around it in violent arcs. Pillars fracture. Ancient mosaic shatters into the air. He is driven backward across the floor, barrier held, never once striking out — every motion defensive. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
10,II. THE BREAK,The constellation breaks,yes,01:30,01:40,00:50,01:00,10,,"A long, rising, glassy tear. Ten distinct notes leaving, high to low.","REFERENCE IMAGES - READ THIS FIRST: character reference images are attached to this request. Look at them before generating anything. They are the definitive and binding source for how these characters look. Match the attached references exactly: fur colour and texture, body proportions and size relative to each other, head and face structure, eye shape and eye colour, every marking, and the scarf's exact fabric, colour, length and the number and placement of its fastenings. Do not reinterpret, restyle, redesign, stylise differently or otherwise 'improve' any character. Do not invent features that are not in the references. Do not substitute a generic cat. If anything in the text below appears to conflict with an attached reference image, THE REFERENCE IMAGE WINS. The characters in your output must be recognisably the same individuals as the ones in the attached images. 10-SECOND ANIME SHOT. STYLE: 2D cel-shaded Japanese anime, theatrical feature-film quality, hand-drawn key-animation look, crisp confident ink linework with varied line weight, flat cel shading with hard-edged shadow terminators, warm rim light separating subject from background, lush hand-painted gouache backgrounds in the classic Japanese anime background-art tradition, rich cinematic color script, volumetric god-rays, floating dust and pollen particulate, subtle 35mm film grain, anamorphic lens flare, shallow depth of field, 2.39:1 cinemascope, 24fps, no on-screen text, no subtitles, no watermark, no logo. COLOR STAGE: THE BREAK. LUMI: a small white cat, true feline proportions on four legs, fluffy fur with a faint cream undertone at ears and tail-tip, large round pale-gold eyes with vertical pupils, thin delicate gold filigree markings tracing his forelegs and across his brow, wearing a long dark indigo-navy scarf of woven-night fabric with ten small circular silver fastenings stitched along it, scarf ends frayed and trailing behind him. SHOT: Extreme slow-motion close-up, camera locked. A claw of pure darkness sweeps down across frame and strikes the dark indigo scarf across LUMI's chest. The fabric tears. All ten silver fastenings burst open at once in sequence across the frame, and the ten coloured lights blow outward and upward past the lens in trailing streaks, leaving the torn scarf whipping empty in the shockwave. Hold on his face in the last beat: pupils blown wide, the reflected colours draining out of his eyes one by one until there is nothing left in them but the vault. TIMING: one single continuous take, one camera move, one change of state; 0-3s the frame settles with one element already in motion, 3-7s the move commits, 7-10s the state changes and the shot lands. No cuts inside the shot. NEGATIVE: 3D render, CGI, Pixar style, photorealistic, live action, plastic sheen, western cartoon, chibi, deformed anatomy, extra limbs, extra tails, melting faces, morphing features, flickering, warped eyes, mismatched eye color, human faces on animals, text, letters, captions, subtitles, watermark, signature, UI overlay, low contrast mush, oversaturated neon clipping, jerky motion, frame blending, duplicated characters, crowd of cats. off-model character, redesigned character, different character design, inconsistent character design, generic cat, wrong fur colour, wrong eye colour, wrong markings, missing scarf, wrong number of fastenings, character drift, ignoring the reference image, restyled character."
